'a'ba'ga'qi 阿巴嘎旗
'gong'ba'xiang 拱坝乡
'gong'ba'zhen 蚣坝镇
'gong'bai'zhen 公白镇
'gong'bao'la'ge'su'mu 贡宝拉格苏木
'gong'bei'jie'dao 拱北街道
'gong'bo'xia'guan'wei'hui 公伯峡管委会
'gong'bo'xiang 贡波乡
'gong'bu'jiang'da'xian 工布江达县
'gong'bu'jiang'da'zhen 工布江达镇
'gong'bu'xue'xiang 工布学乡
'gong'chang'lian'he'she'qu 工厂联合社区
'gong'chang'ling'qu 弓长岭区
'gong'chang'zhen 龚场镇
'gong'chang'zhen 巩昌镇
'gong'che'zhen 公车镇
'gong'chen'bei'da'jie'she'qu 拱辰北大街社区
'gong'chen'da'jie'she'qu 拱辰大街社区
'gong'chen'jie'dao 拱辰街道
'gong'chen'qiao'jie'dao 拱宸桥街道
'gong'cheng'jie'dao 工程街道
'gong'cheng'yao'zu'zi'zhi'xian 恭城瑶族自治县
'gong'cheng'zhen 恭城镇
'gong'chuan'xiang 贡川乡
'gong'chuan'zhen 贡川镇
'gong'cun'zhen 宫村镇
'gong'dang'xiang 贡当乡
'gong'dao'zhen 公道镇
'gong'de'lin'jie'dao 公德林街道
'gong'de'si'she'qu 功德寺社区
'gong'di'xiang 公地乡
'gong'dian'xiang 龚店乡
'gong'dian'xiang 公店乡
'gong'dian'zhen 巩店镇
'gong'dong'xiang 拱洞乡
'gong'fang'zhen 龚坊镇
'gong'ga'shan'xiang 贡嘎山乡
'gong'ga'xian 贡嘎县
'gong'ge'zhuang'cun 公各庄村
'gong'gu'xiang 巩固乡
'gong'guan'xiang 公馆乡
'gong'guan'zhen 公馆镇
'gong'he'jie'dao 共和街道
'gong'he'lai'su'mu 公河来苏木
'gong'he'tu'jia'zu'xiang 共和土家族乡
'gong'he'xian 共和县
'gong'he'xiang 共和乡
'gong'he'xin'lu'jie'dao 共和新路街道
'gong'he'zhen 共合镇
'gong'he'zhen 共和镇
'gong'he'zhen 宫河镇
'gong'he'zhuang'cun 公和庄村
'gong'hua'zhen 共华镇
'gong'hui'zhen 公会镇
'gong'ji'dian'cun 供给店村
'gong'ji'jie'dao 共济街道
'gong'ji'si'zhen 公吉寺镇
'gong'ji'tang'xiang 供济堂乡
'gong'ji'xiang 公吉乡
'gong'jia'he'xiang 巩家河乡
'gong'jia'ping'zhen 龚家坪镇
'gong'jia'wan'jie'dao 龚家湾街道
'gong'jia'xiang 龚家乡
'gong'jia'zhai'jie'dao 龚家寨街道
'gong'jiang'zhen 贡江镇
'gong'jin'xiang 共进乡
'gong'jing'jie'jie'dao 贡井街街道
'gong'jing'qu 贡井区
'gong'jing'xiang 贡井乡
'gong'jiu'bu'xiang 贡久布乡
'gong'jue'xian 贡觉县
'gong'ka'zhen 工卡镇
'gong'la'hu'dong'xiang 公腊胡洞乡
'gong'la'ma'xiang 公喇嘛乡
'gong'lang'zhen 公郎镇
'gong'le'jie'dao 共乐街道
'gong'le'zhen 共乐镇
'gong'li'zhen 宫里镇
'gong'liao'xiang 贡寮乡
'gong'ling'zhen 公岭镇
'gong'liu'niu'chang 巩留牛场
'gong'liu'xian 巩留县
'gong'liu'xiang 恭六乡
'gong'liu'zhen 巩留镇
'gong'long'xiang 贡隆乡
'gong'lu'miao'pu 公路苗圃
'gong'men'kou'she'qu 宫门口社区
'gong'men'zhen 恭门镇
'gong'miao'zi'zhen 公庙子镇
'gong'min'zhen 公民镇
'gong'ming'jie'dao 公明街道
'gong'mo'xiang 贡莫乡
'gong'nai'si'gou'xiang 巩乃斯沟乡
'gong'nai'si'zhong'yang'chang 巩乃斯种羊场
'gong'ni'zhao'xiang 公尼召乡
'gong'nong'jie'dao 工农街道
'gong'nong'lu'jie'dao 工农路街道
'gong'nong'qu 工农区
'gong'nong'xiang 工农乡
'gong'nong'zhen 工农镇
'gong'peng'zhen 弓棚镇
'gong'peng'zi'zhen 弓棚子镇
'gong'ping'jie'dao 公平街道
'gong'ping'xiang 公平乡
'gong'ping'xu'zhen 公平圩镇
'gong'ping'zhen 公坪镇
'gong'ping'zhen 公平镇
'gong'qi'ri'ga'xiang 公其日嘎乡
'gong'qian'xiang 宫前乡
'gong'qiao'xiang 公桥乡
'gong'qiao'xiang 拱桥乡
'gong'qiao'zhen 功桥镇
'gong'qiao'zhen 拱桥镇
'gong'qing'jing'ying'suo 共青经营所
'gong'qing'kai'fang'kai'fa'qu 共青开放开发区
'gong'qing'kai'fang'kai'fa'qu'cheng'qu 共青开放开发区城区
'gong'qing'nong'chang 共青农场
'gong'qing'tuan'nong'chang 共青团农场
'gong'qu'jie'dao 工区街道
'gong'quan'zhen 珙泉镇
'gong'ren'cun'jie'dao 工人村街道
'gong'ren'jie'dao 工人街道
'gong'ren'xin'cun'jie'dao 工人新村街道
'gong'ri'men'ba'zu'xiang 贡日门巴族乡
'gong'ri'xiang 贡日乡
'gong'rong'xiang 共荣乡
'gong'shan'du'long'zu'nu'zu'zi'zhi'xian 贡山独龙族怒族自治县
'gong'shan'zhen 功山镇
'gong'shan'zhen 工山镇
'gong'shang'da'xue'she'qu 工商大学社区
'gong'shi'xiang 拱市乡
'gong'shu'qu 拱墅区
'gong'tan'zhen 龚滩镇
'gong'tang'xiang 公塘乡
'gong'ti'lu'she'qu 工体路社区
'gong'tian'zhen 公田镇
'gong'wu'su'zhen 公乌素镇
'gong'xi'xiang 贡溪乡
'gong'xi'zhen 公溪镇
'gong'xian 珙县
'gong'xin'xiang 公信乡
'gong'xing'dun'jie'dao 拱星墩街道
'gong'xing'zhen 公兴镇
'gong'xing'zhen 共兴镇
'gong'xing'zhen 拱星镇
'gong'ya'xiang 龚垭乡
'gong'yang'xiang 公阳乡
'gong'ye'fen'cun 公爷坟村
'gong'ye'ji'zhong'qu 工业集中区
'gong'ye'jie'dao 工业街道
'gong'ye'jie'jie'dao 工业街街道
'gong'ye'lu'jie'dao 工业路街道
'gong'ye'qu 工业区
'gong'ye'qu'jie'dao 工业区街道
'gong'ye'xin'qu 工业新区
'gong'ye'yuan 工业园
'gong'ye'yuan'jie'dao 工业园街道
'gong'ye'yuan'qu 工业园区
'gong'ye'yuan'qu'guan'wei'hui 工业园区管委会
'gong'yi'shi 巩义市
'gong'yi'xiang 公议乡
'gong'yi'zhen 公义镇
'gong'yi'zhuang'cun 公议庄村
'gong'ying'xiang 巩营乡
'gong'ying'zi'zhen 公营子镇
'gong'yuan'bei'she'qu 公园北社区
'gong'yuan'jie'dao 公园街道
'gong'yuan'ju'wei'hui 贡院居委会
'gong'yuan'lu'jie'dao 公园路街道
'gong'yun'xue'yuan'she'qu 工运学院社区
'gong'zheng'man'zu'xiang 公正满族乡
'gong'zheng'xiang 公正乡
'gong'zhu'fen'cun 公主坟村
'gong'zhu'ling'mu'chang 公主陵牧场
'gong'zhu'ling'shi 公主岭市
'gong'zhu'tun'zhen 公主屯镇
'gong'zhuang'cun 公庄村
'gong'zhuang'zhen 公庄镇
'gong'zhuang'zi'cun 龚庄子村
'gong'zi'shi'xiang 弓子石乡
'gong'zui'zhen 龚嘴镇
'gou'ba'zhen 构扒镇
'gou'bang'zi'zhen 沟帮子镇
'gou'bei'cun 沟北村
'gou'bei'jie'dao 沟北街道
'gou'cun'ji'zhen 苟村集镇
'gou'dian'pu'xiang 沟店铺乡
'gou'dong'cun 沟东村
'gou'dun'zhen 沟墩镇
'gou'ge'zhuang'zhen 苟各庄镇
'gou'jia'xiang 苟家乡
'gou'jiang'zhen 苟江镇
'gou'jiao'zhen 苟角镇
'gou'jie'yi'zu'miao'zu'xiang 苟街彝族苗族乡
'gou'jie'zhen 狗街镇
'gou'kou'jie'dao 沟口街道
'gou'kou'xiang 沟口乡
'gou'li'xiang 沟里乡
'gou'lin'zhen 构林镇
'gou'lou'xiang 岣嵝乡
'gou'men'cun 沟门村
'gou'men'zhen 沟门镇
'gou'men'zi'zhen 沟门子镇
'gou'nai'dian'xiang 枸乃甸乡
'gou'nan'jie'dao 沟南街道
'gou'nan'xiang 沟南乡
'gou'pi'tan'zhen 构皮滩镇
'gou'ping'xiang 垢坪乡
'gou'qi'xiang 枸杞乡
'gou'qu'zhuang'cun 沟渠庄村
'gou'shan'jie'dao 勾山街道
'gou'shi'zhen 缑氏镇
'gou'tai'xiang 狗台乡
'gou'tang'zhen 苟堂镇
'gou'ting'xiang 沟亭乡
'gou'xi'xiang 沟溪乡
'gou'yan'zhen 沟沿镇
'gou'yuan'xiang 构元乡
'gou'zhao'xiang 沟赵乡
'gou'zi'tou'cun 沟自头村
'gu'an'xian 固安县
'gu'an'zhen 固安镇
'gu'bai'xiang 古柏乡
'gu'bai'zhen 古柏镇
'gu'bao'xiang 谷堡乡
'gu'bei'kou'cun 古北口村
'gu'bei'kou'she'qu 古北口社区
'gu'bei'kou'zhen 古北口镇
'gu'bei'xiang 古北乡
'gu'bei'zhen 古陂镇
'gu'bei'zhen 古碑镇
'gu'ben'xiang 固本乡
'gu'bu'zhen 古埠镇
'gu'ce'cun 顾册村
'gu'chang'zhen 古昌镇
'gu'cheng'cun 古城村
'gu'cheng'dian'zhen 固城店镇
'gu'cheng'hui'zu'xiang 古城回族乡
'gu'cheng'jie'dao 古城街道
'gu'cheng'lu'she'qu 古城路社区
'gu'cheng'nan'li'she'qu 古城南里社区
'gu'cheng'nan'lu'dong'she'qu 古城南路东社区
'gu'cheng'nan'lu'she'qu 古城南路社区
'gu'cheng'nan'lu'xi'she'qu 古城南路西社区
'gu'cheng'qu 古城区
'gu'cheng'tai'jie'dao 古城台街道
'gu'cheng'wan'xiang 古城湾乡
'gu'cheng'xi'lu'bei'she'qu 古城西路北社区
'gu'cheng'xi'lu'nan'she'qu 古城西路南社区
'gu'cheng'xian 谷城县
'gu'cheng'xian 故城县
'gu'cheng'xiang 鼓城乡
'gu'cheng'xiang 古城乡
'gu'cheng'xiang 固城乡
'gu'cheng'zhen 古城镇
'gu'cheng'zhen 固城镇
'gu'cheng'zhen 故城镇
'gu'cheng'zi'jie'dao 古城子街道
'gu'cheng'zi'zhen 古城子镇
'gu'chu'jie'dao 古楚街道
'gu'cun 固村
'gu'cun'zhen 谷村镇
'gu'cun'zhen 顾村镇
'gu'cun'zhen 固村镇
'gu'da'miao'zu'yi'zu'xiang 古达苗族彝族乡
'gu'da'po'xiang 谷达坡乡
'gu'dan'zhen 谷旦镇
'gu'dang'jie'dao 古荡街道
'gu'dao'zhen 孤岛镇
'gu'de'xiang 谷德乡
'gu'deng'xiang 古登乡
'gu'di'zhen 固堤镇
'gu'dian'xiang 古店乡
'gu'dian'xiang 孤店乡
'gu'dian'zhen 古店镇
'gu'dian'zhen 固店镇
'gu'dian'zi'zhen 孤店子镇
'gu'ding'zhen 古丁镇
'gu'dong'gou'cun 古洞沟村
'gu'dong'jie'dao 鼓东街道
'gu'dong'xiang 谷洞乡
'gu'dong'zhen 谷硐镇
'gu'dong'zhen 固东镇
'gu'dou'lin'chang 古斗林场
'gu'du'jie'dao 古渡街道
'gu'dui'hui'zu'xiang 孤堆回族乡
'gu'dui'xiang 谷堆乡
'gu'dui'xiang 古堆乡
'gu'er'gou'zhen 古尔沟镇
'gu'er'tu'mu'chang 古尔图牧场
'gu'er'tu'zhen 古尔图镇
'gu'er'xiang 古二乡
'gu'fang'xiang 古坊乡
'gu'feng'xiang 古丰乡
'gu'feng'zhen 古峰镇
'gu'fo'xiang 古佛乡
'gu'fo'zhen 古佛镇
'gu'fu'zhen 古夫镇
'gu'gan'shui'zu'xiang 古敢水族乡
'gu'gang'xiang 谷岗乡
'gu'gang'zhen 古港镇
'gu'gao'zhen 顾高镇
'gu'gou'hui'zu'xiang 古沟回族乡
'gu'gu'zhai'zhen 古固寨镇
'gu'guan'tun'zhen 顾官屯镇
'gu'guan'zhen 固关镇
'gu'han'zhen 古韩镇
'gu'he'jie'dao 沽河街道
'gu'he'xiang 古河乡
'gu'he'zhen 古河镇
'gu'he'zhen 固河镇
'gu'hou'xiang 固厚乡
'gu'hua'xiang 古花乡
'gu'huai'jie'dao 古槐街道
'gu'huai'zhen 古槐镇
'gu'ji'xiang 古迹乡
'gu'ji'xiang 古基乡
'gu'ji'zhen 顾集镇
'gu'jia'dian'zhen 顾家店镇
'gu'jia'xiang 古佳乡
'gu'jia'ying'cun 谷家营村
'gu'jia'ying'zhen 顾家营镇
'gu'jia'zhuang'cun 顾家庄村
'gu'jiang'ba'ge'jie'dao 古江巴格街道
'gu'jiang'ba'ge'xiang 古江巴格乡
'gu'jiang'cun 古将村
'gu'jiang'xiang 鼓匠乡
'gu'jiang'zhen 古绛镇
'gu'jiang'zhen 固江镇
'gu'jiao'shi 古交市
'gu'jiao'xiang 古郊乡
'gu'jiao'zhen 谷脚镇
'gu'jiao'zhen 古交镇
'gu'jin'lou'xiang 谷金楼乡
'gu'jing'zhen 古井镇
'gu'jun'xiang 固军乡
'gu'jun'xiang 故郡乡
'gu'kai'miao'zu'yi'zu'xiang 姑开苗族彝族乡
'gu'keng'xiang 古坑乡
'gu'la'ben'ao'bao'zhen 古拉本敖包镇
'gu'la'ha'ma'xiang 固拉哈玛乡
'gu'la'xiang 谷拉乡
'gu'la'xiang 古拉乡
'gu'la'zhen 古辣镇
'gu'lai'zhen 谷来镇
'gu'lang'xian 古浪县
'gu'lang'yu'jie'dao 鼓浪屿街道
'gu'lang'yu'qu 鼓浪屿区
'gu'lang'zhen 古浪镇
'gu'lang'zhen'jie'dao 古浪镇街道
'gu'lao'bei'jie'dao 古老背街道
'gu'lao'zhen 古劳镇
'gu'le'a'wa'ti'xiang 古勒阿瓦提乡
'gu'le'ba'ge'jie'dao 古勒巴格街道
'gu'le'ba'ge'xiang 古勒巴格乡
'gu'le'lu'ke'xiang 古勒鲁克乡
'gu'lei'zhen 古雷镇
'gu'li'jie'dao 谷里街道
'gu'li'mu'tu'jie'dao 顾力木图街道
'gu'li'xiang 古里乡
'gu'li'zhen 谷里镇
'gu'li'zhen 古里镇
'gu'lin'jie'dao 古林街道
'gu'lin'jing'xiang 古林箐乡
'gu'lin'xian 古蔺县
'gu'lin'zhen 古蔺镇
'gu'lin'zhen 古林镇
'gu'ling'zhen 古零镇
'gu'ling'zhen 故陵镇
'gu'ling'zhen 牯岭镇
'gu'liu'jie'dao 古柳街道
'gu'long'gang'zhen 古龙冈镇
'gu'long'xiang 谷龙乡
'gu'long'xiang 古龙乡
'gu'long'xiang 固隆乡
'gu'long'zhen 谷陇镇
'gu'long'zhen 古龙镇
'gu'lou'jie'dao 鼓楼街道
'gu'lou'jie'dao 古楼街道
'gu'lou'nan'qu'she'qu 鼓楼南区社区
'gu'lou'qu 鼓楼区
'gu'lou'she'qu 鼓楼社区
'gu'lou'xi'da'jie'she'qu 鼓楼西大街社区
'gu'lou'xi'jie'jie'dao 鼓楼西街街道
'gu'lou'xiang 古楼乡
'gu'lou'yuan'she'qu 鼓楼苑社区
'gu'lou'zhen 古楼镇
'gu'lou'zi'xiang 古楼子乡
'gu'lu'ban'hao'xiang 古鲁板蒿乡
'gu'lu'xiang 古路乡
'gu'lu'zhen 古路镇
'gu'lu'zhen 古露镇
'gu'lun'xiang 古仑乡
'gu'luo'shan'xiang 谷罗山乡
'gu'luo'zhen 古罗镇
'gu'lv'zhen 古吕镇
'gu'ma'zhen 古马镇
'gu'ma'zhen 固玛镇
'gu'mang'xiang 谷芒乡
'gu'mei'jie'dao 古美街道
'gu'mi'xiang 谷米乡
'gu'mu'di'zhen 古牧地镇
'gu'mu'xiang 古姆乡
'gu'mu'zhen 古木镇
'gu'nan'jie'dao 古南街道
'gu'nan'xiang 古南乡
'gu'nan'zhen 古南镇
'gu'niu'shan'xiang 牯牛山乡
'gu'nong'nong'chang 古农农场
'gu'pei'zhen 古培镇
'gu'pei'zhen 古沛镇
'gu'peng'zhen 古蓬镇
'gu'pi'zhen 古邳镇
'gu'ping'xiang 谷坪乡
'gu'po'xiang 古坡乡
'gu'qia'xiang 古恰乡
'gu'qian'bao'zhen 谷前堡镇
'gu'qiang'zhen 固墙镇
'gu'qiao'jie'dao 古桥街道
'gu'qiao'xiang 古桥乡
'gu'qiao'zhen 顾桥镇
'gu'qu'xiang 谷曲乡
'gu'quan'zhen 古泉镇
'gu'rao'zhen 谷饶镇
'gu'rao'zhen 古饶镇
'gu'ri'ban'hua'su'mu 固日班花苏木
'gu'ri'nai'su'mu 古日乃苏木
'gu'rong'xiang 古荣乡
'gu'sang'xiang 古桑乡
'gu'shan'kou'cun 孤山口村
'gu'shan'man'zu'zhen 孤山满族镇
'gu'shan'qu 鼓山区
'gu'shan'xiang 古山乡
'gu'shan'zhen 顾山镇
'gu'shan'zhen 鼓山镇
'gu'shan'zhen 古鄯镇
'gu'shan'zhen 古山镇
'gu'shan'zhen 固山镇
'gu'shan'zhen 孤山镇
'gu'shan'zhen 崮山镇
'gu'shan'zi'xiang 古山子乡
'gu'shan'zi'xiang 孤山子乡
'gu'shan'zi'zhen 孤山子镇
'gu'shao'zhen 古邵镇
'gu'shi'gou'men'cun 古石沟门村
'gu'shi'xian 固始县
'gu'shi'yu'cun 古石峪村
'gu'shi'zhen 古市镇
'gu'shi'zhen 故市镇
'gu'shou'xiang 古寿乡
'gu'shu'zhen 谷熟镇
'gu'shu'zhen 姑孰镇
'gu'shu'zhen 孤树镇
'gu'shui'zhen 古水镇
'gu'song'xiang 古宋乡
'gu'ta'qu 古塔区
'gu'ta'xiang 古塔乡
'gu'tai'shan'guo'you'lin'chang 古台山国有林场
'gu'tan'xiang 古坦乡
'gu'tan'xiang 古潭乡
'gu'tang'xiang 古塘乡
'gu'tang'zhen 姑塘镇
'gu'tao'zhen 古陶镇
'gu'tian'xian 古田县
'gu'tian'zhen 古田镇
'gu'tian'zhen 姑田镇
'gu'ting'zhen 谷亭镇
'gu'wang'ji'xiang 古王集乡
'gu'wang'qu 贾汪区
'gu'wang'xiang 谷汪乡
'gu'wei'zhen 古魏镇
'gu'wen'xiang 古文乡
'gu'wen'zhen 古文镇
'gu'xi'jie'dao 鼓西街道
'gu'xi'xiang 古溪乡
'gu'xi'zhen 古溪镇
'gu'xian 古县
'gu'xian'du'zhen 古县渡镇
'gu'xian'jie'dao 古现街道
'gu'xian'jie'dao 故县街道
'gu'xian'xiang 古贤乡
'gu'xian'xiang 古县乡
'gu'xian'xiang 固贤乡
'gu'xian'xiang 固县乡
'gu'xian'xiang 固献乡
'gu'xian'xiang 故仙乡
'gu'xian'xiang 故县乡
'gu'xian'zhen 顾县镇
'gu'xian'zhen 古县镇
'gu'xian'zhen 古岘镇
'gu'xian'zhen 固县镇
'gu'xian'zhen 故县镇
'gu'xiang 古乡
'gu'xiang'xiang 固厢乡
'gu'xiang'zhen 古巷镇
'gu'xin'zhen 固新镇
'gu'xing'zhen 古荥镇
'gu'xue'xiang 古学乡
'gu'yang'xian 固阳县
'gu'yang'zhen 谷阳镇
'gu'yang'zhen 鼓扬镇
'gu'yang'zhen 古阳镇
'gu'yang'zhen 固阳镇
'gu'ye'jie'dao 古冶街道
'gu'ye'qu 古冶区
'gu'yi'zhen 古驿镇
'gu'yi'zhen 古宜镇
'gu'yi'zhen 固驿镇
'gu'ying'ji'zhen 古营集镇
'gu'ying'xiang 谷营乡
'gu'yong'zhen 古镛镇
'gu'yu'shu'zhen 古榆树镇
'gu'yu'xiang 古玉乡
'gu'yuan'shi 固原市
'gu'yuan'xian 沽源县
'gu'yuan'zhen 古源镇
'gu'yue'feng'zhen 古岳峰镇
'gu'yue'zhen 古月镇
'gu'yun'hu'jie'dao 崮云湖街道
'gu'yun'zhen 古云镇
'gu'zan'zhen 姑咱镇
'gu'zeng'miao'zu'xiang 固增苗族乡
'gu'zhai'mu'lao'zu'xiang 古砦仫佬族乡
'gu'zhai'xiang 古寨乡
'gu'zhai'yao'zu'xiang 古寨瑶族乡
'gu'zhai'zhen 古寨镇
'gu'zhan'hui'zu'xiang 古战回族乡
'gu'zhang'xian 古丈县
'gu'zhang'xiang 古樟乡
'gu'zhang'zhen 古障镇
'gu'zhang'zi'xiang 谷杖子乡
'gu'zhen'xian 固镇县
'gu'zhen'zhen 古镇镇
'gu'zhen'zhen 固镇镇
'gu'zhou'zhen 谷洲镇
'gu'zhou'zhen 古州镇
'gu'zhu'xiang 古竹乡
'gu'zhu'ying'zi'xiang 孤竹营子乡
'gu'zhu'zhen 古竹镇
'gu'zhuang'cun 顾庄村
'gu'zhuang'cun 古庄村
'gu'zhuang'dian'xiang 古庄店乡
'gua'bu'zhen 瓜埠镇
'gua'chang'cun 瓜场村
'gua'che'he'zhen 挂车河镇
'gua'jia'si'jie'dao 挂甲寺街道
'gua'jia'tun'she'qu 挂甲屯社区
'gua'jia'yu'cun 挂甲峪村
'gua'lan'yu'zhen 挂兰峪镇
'gua'li'xiang 瓜里乡
'gua'li'zhen 瓜沥镇
'gua'po'zhen 瓜坡镇
'gua'she'xiang 瓜畲乡
'gua'shen'ze'xiang 瓜什则乡
'gua'shi'cun 瓜市村
'gua'yuan'xiang 瓜园乡
'gua'yuan'ze'wan'xiang 瓜园则湾乡
'gua'zhou'xian 瓜州县
'gua'zhou'xiang 瓜州乡
'gua'zhou'zhen 瓜洲镇
'gua'zi'ping'jie'dao 瓜子坪街道
'guai'cun'zhong'xin'cun 怪村中心村
'guai'er'zhen 拐儿镇
'guai'he'zhen 拐河镇
'guai'mo'zi'zhen 拐磨子镇
'guan'ba'xiang 关坝乡
'guan'ba'xiang 管坝乡
'guan'ba'xiang 罐坝乡
'guan'ba'zhen 关坝镇
'guan'ba'zhen 官坝镇
'guan'ban'zhen 官坂镇
'guan'bei'jie'she'qu 关北街社区
'guan'bei'zhen 官陂镇
'guan'bo'xiang 关卜乡
'guan'bu'qiao'zhen 官埠桥镇
'guan'bu'zhen 关埠镇
'guan'cang'zhen 官仓镇
'guan'chang'xiang 官厂乡
'guan'chang'xiang 官场乡
'guan'chao'zhen 观巢镇
'guan'chao'zhen 冠朝镇
'guan'cheng'hui'zu'qu 管城回族区
'guan'cheng'jie'dao 莞城街道
'guan'cheng'jie'dao 管城街道
'guan'cheng'yuan'she'qu 冠城园社区
'guan'cheng'zhen 观城镇
'guan'cheng'zhen 冠城镇
'guan'cheng'zhen 官成镇
'guan'chi'zhen 官池镇
'guan'cun'she'qu 管村社区
'guan'cun'xiang 管村乡
'guan'cun'zhen 管村镇
'guan'cuo'xiang 管厝乡
'guan'da'hai'nong'chang 官大海农场
'guan'dang'zhen 官垱镇
'guan'dang'zhen 官当镇
'guan'dao'cun 官道村
'guan'dao'ju'she'qu 管道局社区
'guan'dao'kou'zhen 官道口镇
'guan'dao'li'zhen 官道李镇
'guan'dao'xiang 官道乡
'guan'dao'zhen 关刀镇
'guan'dao'zhen 官道镇
'guan'di'cun 官地村
'guan'di'jie'dao 官地街道
'guan'di'miao'zhen 关帝庙镇
'guan'di'ping'zhen 官地坪镇
'guan'di'xiang 关堤乡
'guan'di'xiang 关帝乡
'guan'di'zhen 关帝镇
'guan'di'zhen 官地镇
'guan'di'zhen 官底镇
'guan'dian'xiang 关店乡
'guan'dian'zhen 官店镇
'guan'dian'zhen 管店镇
'guan'dong'dian'she'qu 关东店社区
'guan'dong'zhen 贯洞镇
'guan'dong'zhen 官垌镇
'guan'dou'jie'dao 官陡街道
'guan'dou'miao'zu'xiang 观斗苗族乡
'guan'du'he'zhen 官渡河镇
'guan'du'jie'dao 官渡街道
'guan'du'qu 官渡区
'guan'du'xiang 关渡乡
'guan'du'zhen 官渡镇
'guan'dun'xiang 官墩乡
'guan'er'xiang 官儿乡
'guan'fang'jie'dao 官坊街道
'guan'fang'xiang 关防乡
'guan'fang'xiang 官坊乡
'guan'feng'hai'zhen 观风海镇
'guan'feng'xiang 观凤乡
'guan'gang'zhen 官港镇
'guan'gao'cun 官高村
'guan'ge'zhen 观阁镇
'guan'gong'xiang 关公乡
'guan'gong'zhen 管公镇
'guan'gou'xiang 官沟乡
'guan'guang'jie'dao 观光街道
'guan'hai'lu'jie'dao 观海路街道
'guan'hai'wei'zhen 观海卫镇
'guan'he'dong'zu'tu'jia'zu'miao'zu'xiang 官和侗族土家族苗族乡
'guan'he'xiang 关河乡
'guan'hu'zhen 官湖镇
'guan'hua'xiang 观化乡
'guan'hui'zhen 官会镇
'guan'ji'zhen 关集镇
'guan'ji'zhen 官集镇
'guan'jia'bao'xiang 管家堡乡
'guan'jia'chuan'xiang 关家川乡
'guan'jia'wu'hui'zu'xiang 管家务回族乡
'guan'jia'xiang 关家乡
'guan'jia'ying'man'zu'xiang 关家营满族乡
'guan'jia'zhuang'cun 管家庄村
'guan'jia'zui'zhen 官家嘴镇
'guan'jin'xiang 关津乡
'guan'ju'xiang 关沮乡
'guan'kou'jie'dao 关口街道
'guan'kou'zhen 关口镇
'guan'kou'zhen 灌口镇
'guan'lan'jie'dao 观澜街道
'guan'lei'zhen 关累镇
'guan'li'ping'jie'dao 官黎坪街道
'guan'li'zhen 观里镇
'guan'lian'xiang 官莲乡
'guan'lin'zhen 关林镇
'guan'lin'zhen 官林镇
'guan'ling'bu'yi'zu'miao'zu'zi'zhi'xian 关岭布依族苗族自治县
'guan'ling'xiang 贯岭乡
'guan'ling'zhen 贯岭镇
'guan'ling'zhen 官岭镇
'guan'lu'xiang 关路乡
'guan'lu'xiang 官路乡
'guan'lu'zhen 官路镇
'guan'mao'shan'cun 官帽山村
'guan'me'xiang 观么乡
'guan'mei'zhen 观美镇
'guan'men'shan'xiang 关门山乡
'guan'men'xiang 关门乡
'guan'mian'xiang 关面乡
'guan'miao'xiang 观庙乡
'guan'miao'xiang 关庙乡
'guan'miao'zhen 关庙镇
'guan'nan'xian 灌南县
'guan'niu'fang'cun 官牛坊村
'guan'ping'he'xiang 关坪河乡
'guan'ping'xiang 关坪乡
'guan'po'zhen 官坡镇
'guan'qian'jie'dao 观前街道
'guan'qian'zhen 观前镇
'guan'qian'zhen 馆前镇
'guan'qian'zhen 管前镇
'guan'qiao'xiang 关桥乡
'guan'qiao'xiang 官桥乡
'guan'qiao'zhen 观桥镇
'guan'qiao'zhen 官桥镇
'guan'qing'xiang 官清乡
'guan'sha'ling'jie'dao 观沙岭街道
'guan'shan'jie'dao 关山街道
'guan'shan'jie'dao 冠山街道
'guan'shan'lin'chang 官山林场
'guan'shan'xiang 观山乡
'guan'shan'xiang 贯山乡
'guan'shan'xiang 关山乡
'guan'shan'xiang 冠山乡
'guan'shan'zhen 观山镇
'guan'shan'zhen 关山镇
'guan'shan'zhen 冠山镇
'guan'shan'zhen 官山镇
'guan'shang'cun 关上村
'guan'shang'jie'dao 关上街道
'guan'shang'zhen 观上镇
'guan'sheng'zhen 观胜镇
'guan'sheng'zhen 官升镇
'guan'sheng'zhen 官盛镇
'guan'shi'xiang 关市乡
'guan'shi'zhen 关市镇
'guan'shi'zhen 冠市镇
'guan'shui'zhen 观水镇
'guan'shui'zhen 灌水镇
'guan'si'xiang 观寺乡
'guan'suo'zhen 关索镇
'guan'tai'xiang 观太乡
'guan'tai'zhen 观台镇
'guan'tan'gou'xiang 关滩沟乡
'guan'tan'xiang 官滩乡
'guan'tan'zhen 官滩镇
'guan'tang'ji'xiang 关塘集乡
'guan'tang'lin'chang 官塘林场
'guan'tang'xiang 观堂乡
'guan'tang'xiang 贯塘乡
'guan'tang'xiang 官塘乡
'guan'tang'yi'zhen 官塘驿镇
'guan'tang'zhen 观堂镇
'guan'tang'zhen 观塘镇
'guan'tang'zhen 官塘镇
'guan'tao'xian 馆陶县
'guan'tao'xiang 管陶乡
'guan'tao'zhen 馆陶镇
'guan'tian'xiang 官田乡
'guan'tian'zhen 关田镇
'guan'ting'xiang 官亭乡
'guan'ting'xiang 官厅乡
'guan'ting'zhen 官亭镇
'guan'ting'zhen 官厅镇
